class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.3,0.7,5.32e-05,1.32e-05,2.26e-06,7.856e-05,1
0.2666,0.7334,3.04e-05,4.9e-06,3.93e-06,5.75e-05,1
0.1034,0.8965,1.85e-05,3.8e-06,4.5e-06,3.91e-05,1
0.411,0.589,1.89e-05,4.05e-06,5.96e-06,0.0004287,1
0.558,0.4417,2.927e-05,7.9e-06,5e-06,0.0001812,0
0.3267,0.673,1.09e-05,3.28e-05,4.53e-06,4.46e-05,1
0.1688,0.831,7.87e-06,3.225e-05,3.34e-06,5.37e-05,1
0.3486,0.6514,7.03e-06,7.45e-06,1.99e-05,4.494e-05,1
0.4243,0.5757,4.35e-06,6e-06,3.743e-05,0.0001035,1
0.737,0.2627,5.84e-06,1e-06,0.0005364,0.0001433,0
0.49,0.51,5.25e-06,2.56e-06,0.00010824,0.00011635,1
0.7275,0.272,5.8e-06,2.86e-06,2.76e-05,0.0001371,0
0.667,0.3328,3.9e-06,2.3e-06,0.0001388,0.0001769,0
0.757,0.2428,5.36e-06,1.6e-06,0.0002558,9.75e-05,0
0.774,0.2257,5.66e-06,1.4e-06,0.0002506,0.0003154,0
0.696,0.3037,7.4e-06,2.44e-06,3.994e-05,0.0003233,0
0.748,0.2515,4.77e-06,4.35e-06,0.00010175,0.0002897,0
0.4385,0.561,1.02e-05,7e-06,1.44e-05,9.22e-05,1
0.1661,0.834,8.34e-06,7.4e-06,8e-06,2.867e-05,1
0.1925,0.807,1.3e-05,4.95e-06,1.24e-05,2.766e-05,1
0.1277,0.8726,4.25e-05,1.36e-05,4.8e-06,2.855e-05,1
0.0883,0.9116,0.0001228,2.44e-06,1.18e-05,4.2e-06,1
0.6704,0.3293,0.000324,2.4e-06,6.78e-05,8.57e-05,0
0.505,0.495,0.0002431,5.3e-06,2.06e-05,8.86e-05,0
0.2495,0.7505,5.424e-05,6.5e-06,9e-06,1.884e-05,1
0.3345,0.6655,9.07e-05,1.97e-06,4.77e-05,1.81e-05,1
0.2766,0.723,7.46e-05,1.55e-06,8.947e-05,1.49e-05,1
0.2583,0.741,7.385e-05,1.2e-06,9.48e-05,7.3e-06,1
0.533,0.4668,0.0001628,9.5e-07,0.0001774,3.76e-05,0
0.5967,0.4036,7.96e-05,1.5e-06,6.783e-05,1.603e-05,0
0.459,0.541,0.0001359,1.7e-06,1.86e-05,8.64e-06,1
0.712,0.2876,7.397e-05,4e-07,0.0004842,4.506e-05,0
0.6724,0.3276,6.82e-05,7e-07,0.0002263,2.93e-05,0
0.3794,0.6187,0.0001757,9e-07,0.001607,1.335e-05,1
0.929,0.06573,2.056e-05,8e-07,0.005222,0.000118,0
0.881,0.1169,0.0001037,2.4e-07,0.001686,0.0002103,0
0.9673,0.02982,4.494e-05,1e-07,0.002153,0.000673,0
0.8843,0.11505,0.000142,3e-07,0.0002174,0.0001213,0
0.6177,0.3823,0.00012064,8e-07,0.0001944,3.33e-05,0
0.8813,0.11835,3.08e-05,8e-07,0.0001925,0.0003405,0
0.891,0.10785,1.186e-05,9e-07,0.0006366,0.0006003,0
0.959,0.0408,7.7e-06,5.4e-07,0.000384,0.0002357,0
0.833,0.1669,3.55e-05,1.2e-06,0.000123,3.284e-05,0
0.749,0.2507,1.746e-05,6e-07,8.84e-05,0.00012124,0
0.644,0.356,2.164e-05,2.3e-06,3.28e-05,7.83e-05,0
0.7637,0.2366,1.264e-05,7.15e-06,4.05e-06,0.00023,0
0.8022,0.1974,7.02e-05,8.1e-06,6e-06,4.077e-05,0
0.818,0.1818,0.0001432,5.96e-06,4.7e-06,2.02e-05,0
0.985,0.01479,4.184e-05,6e-07,0.0002418,9.84e-05,0
0.729,0.2708,5.23e-05,1.55e-06,3.934e-05,8.59e-05,0
0.7383,0.2617,0.0001532,3.6e-06,7.7e-06,6.28e-05,0
0.788,0.2118,0.00011736,2.04e-05,2.1e-06,4.27e-05,0
0.861,0.1378,0.0002124,1.43e-05,2.5e-06,0.000912,0
0.9604,0.03857,9.58e-05,1.49e-05,1.55e-06,0.0005,0
0.972,0.004055,2.22e-05,5.9e-06,1.687e-05,0.02344,0
0.951,0.02179,1.574e-05,4.23e-06,2.855e-05,0.02673,0
0.916,0.01729,7.7e-06,1.097e-05,1.234e-05,0.06665,0
0.7603,0.006466,5.8e-06,2.59e-05,1.68e-05,0.2328,0
0.789,0.1475,2.706e-05,2.694e-05,1.144e-05,0.0629,0
0.8564,0.1318,2.26e-05,2.03e-05,3.46e-06,0.01148,0
0.843,0.1186,9.54e-06,7.6e-06,9.25e-05,0.03854,0
0.603,0.3955,3.09e-05,7.45e-06,1.895e-05,0.001491,0
0.474,0.525,3.72e-05,1.1e-05,4.9e-06,0.000842,1
0.404,0.5947,0.0003633,5.3e-06,2.03e-05,7.26e-05,1
0.2944,0.705,0.0004375,1e-05,4.4e-06,4.94e-05,1
0.626,0.3716,6.51e-05,4.2e-06,2.74e-05,0.002035,0
0.701,0.2969,6.354e-05,7e-07,0.0003407,0.001627,0
0.067,0.9326,0.0001067,3e-06,2.99e-05,1.14e-05,1
0.309,0.691,0.000254,5.2e-06,4.09e-05,2.75e-05,1
0.597,0.4026,0.0002754,1.3e-06,0.000172,3.34e-05,0
0.6875,0.3123,0.000365,1.2e-06,0.0002697,3.05e-05,0
0.8696,0.1287,0.0001917,5.4e-07,0.001179,0.00010985,0
0.683,0.3098,0.0003006,1.13e-06,0.006924,4.42e-05,0
0.771,0.2279,0.0006824,1.6e-06,0.0003881,3.98e-05,0
0.8486,0.1492,7.17e-05,9e-07,0.002195,6.866e-05,0
0.4033,0.5957,0.001186,6.56e-06,2.34e-05,8.76e-06,1
0.4856,0.512,0.002113,6.14e-06,0.0001804,5.4e-06,1
0.4148,0.584,0.001187,5.25e-06,7.79e-05,8.17e-06,1
0.2213,0.7773,0.001138,1.097e-05,7.87e-06,2.26e-06,1
0.3215,0.6694,0.009254,9.7e-06,6.3e-06,3.9e-06,1
0.1549,0.844,0.000499,5e-06,1.49e-05,1.97e-06,1
0.1582,0.842,8.047e-05,3.16e-06,5.94e-05,6.6e-06,1
0.1985,0.801,0.000345,3.3e-06,5.716e-05,2.4e-06,1
0.3792,0.62,4.57e-05,1.5e-06,0.0009313,1.824e-05,1
0.502,0.498,0.0001415,2.5e-06,0.000106,1.08e-05,0
0.6235,0.3767,6.48e-05,2.44e-06,0.000144,2.646e-05,0
0.794,0.2054,0.00010926,9e-07,0.000536,0.0001798,0
0.6836,0.3162,0.0002285,6e-07,0.000333,7.42e-05,0
0.867,0.1289,7.737e-05,5.4e-07,0.003742,0.0001683,0
0.8853,0.11273,4.31e-05,4e-07,0.001688,0.0001363,0
0.775,0.2241,0.0001025,1.25e-06,0.00099,1.42e-05,0
0.6465,0.353,7.83e-05,2.7e-06,0.0001743,1.31e-05,0
