class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.7783,0.207,0.01477,1.97e-06,1.4e-05,1.776e-05,0
0.648,0.3433,0.00858,1.7e-06,6.56e-06,1.99e-05,0
0.845,0.1521,0.002914,1e-06,7.45e-06,1.73e-05,0
0.886,0.1134,0.000253,5e-07,6.1e-06,5.9e-05,0
0.9556,0.04346,0.001415,4e-07,6.5e-06,2.4e-05,0
0.9775,0.00891,0.01298,9.5e-07,2.4e-06,7.063e-05,0
0.8667,0.1301,0.003237,6.6e-07,5e-06,9.22e-05,0
0.986,0.004196,0.00967,5.4e-07,4.95e-06,5.29e-05,0
0.974,0.004715,0.02156,4e-07,1.657e-05,4.32e-05,0
0.9756,0.00461,0.01964,3.6e-07,1.68e-05,0.0001063,0
0.9805,0.00306,0.01614,3e-07,1.6e-05,0.0001078,0
0.925,0.001574,0.07355,5e-07,3.68e-05,8.816e-05,0
0.848,0.00097,0.1509,5.4e-07,0.0003204,3.31e-05,0
0.9517,0.003326,0.0449,4e-07,4.46e-05,2.8e-05,0
0.899,0.00117,0.09985,8e-07,0.0001326,2.5e-05,0
0.9233,0.002144,0.07404,7e-07,7.164e-05,6.01e-05,0
0.93,0.001991,0.0643,1.7e-06,0.003117,1.55e-05,0
0.934,0.001645,0.06256,8.3e-07,0.001769,3.49e-05,0
0.9375,0.0318,0.03021,1e-06,0.0002005,4.24e-05,0
0.9214,0.06207,0.01617,8e-07,0.0002663,3.01e-05,0
0.871,0.05322,0.0754,8e-07,0.0001938,2.47e-05,0
0.6113,0.006332,0.3826,2.15e-06,0.0002885,1.43e-05,0
0.8306,0.0551,0.1144,1.9e-06,6.44e-05,1.39e-05,0
0.3374,0.02946,0.633,8.6e-06,1.73e-05,6.4e-06,2
0.5996,0.05948,0.3408,5.2e-06,2.575e-05,9.6e-06,0
0.5205,0.3535,0.1259,1.27e-05,4.2e-06,2.06e-05,0
0.4795,0.3123,0.2083,8.4e-06,7e-06,9.8e-06,0
0.4292,0.07806,0.4932,1.24e-05,7.87e-06,6.85e-06,2
0.7026,0.03934,0.2578,1.29e-05,4.5e-06,7.9e-06,0
0.3997,0.007362,0.593,2.08e-05,9.3e-06,2.74e-06,2
0.875,0.10126,0.02351,5.25e-06,2.8e-06,8.34e-06,0
0.7314,0.254,0.0152,5.5e-06,2.1e-06,1.07e-05,0
0.786,0.09467,0.1194,2.5e-06,2.64e-05,1.514e-05,0
0.759,0.11896,0.1218,2.8e-06,3.41e-05,8.1e-06,0
0.807,0.0981,0.0946,1.6e-06,0.0001112,5e-06,0
0.928,0.02959,0.04214,9e-07,2.533e-05,9.9e-06,0
0.9297,0.04367,0.0266,1.13e-06,7.57e-06,2.056e-05,0
0.909,0.05463,0.03613,1.7e-06,6.85e-06,2.26e-05,0
0.912,0.0726,0.01533,1.25e-06,4.9e-06,4.62e-05,0
0.9595,0.0384,0.00241,1.1e-06,4.77e-06,8.73e-05,0
0.971,0.02025,0.00838,1.7e-06,1.85e-06,9.29e-05,0
0.956,0.03412,0.00971,1.3e-06,3.04e-06,0.0001079,0
0.932,0.06256,0.005383,7e-07,4.8e-06,4.25e-05,0
0.944,0.05264,0.003805,1.1e-06,2.86e-06,3.886e-05,0
0.9243,0.07446,0.001031,3.6e-07,1.51e-05,6.81e-05,0
0.9277,0.0714,0.000775,2.4e-07,4.005e-05,3.97e-05,0
0.9565,0.03387,0.00936,6e-07,1.09e-05,5.24e-05,0
0.861,0.1147,0.02406,5e-07,0.00011903,3.49e-05,0
0.9263,0.0554,0.01822,3.6e-07,7.67e-05,4.97e-05,0
0.504,0.4277,0.0681,3.16e-06,1.05e-05,1.585e-05,0
0.8325,0.05176,0.116,2e-06,1.04e-05,6.16e-05,0
0.9673,0.01591,0.0169,1.25e-06,3.9e-06,1.365e-05,0
0.923,0.03326,0.04376,3.16e-06,2.86e-06,2.9e-05,0
0.788,0.1412,0.0706,3.64e-06,6.74e-06,1.53e-05,0
0.7456,0.01784,0.2366,8.94e-06,1.85e-06,8.816e-05,0
0.748,0.02652,0.2256,9.9e-06,1.9e-06,2.73e-05,0
0.6245,0.0275,0.3477,8.9e-06,2.74e-06,2.31e-05,0
0.9004,0.0643,0.0354,4.6e-06,1.9e-06,1.12e-05,0
0.8833,0.0763,0.04044,5.7e-06,2.1e-06,9.06e-06,0
0.846,0.1159,0.0376,6.56e-06,1.85e-06,1.496e-05,0
0.82,0.1255,0.05457,5.36e-06,2.4e-06,4.91e-05,0
0.898,0.0797,0.02196,2.7e-06,2.86e-06,4.095e-05,0
0.814,0.1454,0.04028,6.9e-06,1.85e-06,0.000196,0
0.723,0.273,0.003614,2.3e-06,3.6e-06,0.00010157,0
0.736,0.2385,0.0251,1.97e-06,8.05e-06,4.786e-05,0
0.8887,0.10657,0.0044,3e-07,8.51e-05,6.04e-05,0
0.788,0.2073,0.004074,6e-07,2.51e-05,3.9e-05,0
0.808,0.1693,0.02272,1.5e-06,2.27e-05,3.725e-05,0
0.3398,0.6562,0.003647,7.03e-06,5.54e-06,8.5e-06,1
0.5664,0.39,0.04343,5.54e-06,2.02e-05,1.6e-05,0
0.9414,0.02518,0.03326,1.67e-06,2.414e-05,1.58e-05,0
0.9526,0.02496,0.02197,1.3e-06,6.944e-05,8.05e-06,0
0.9478,0.0412,0.01114,4e-07,4.154e-05,1.967e-05,0
0.9517,0.03064,0.01755,3e-07,6.02e-05,4.387e-05,0
0.979,0.001441,0.01907,3.6e-07,4.977e-05,2.31e-05,0
0.993,0.00095,0.005238,2e-07,4.876e-05,6.77e-05,0
0.9863,0.001378,0.01219,1e-07,0.000257,6.39e-05,0
0.994,0.0005836,0.00507,1e-07,6.1e-05,0.0001972,0
0.9795,0.000524,0.01878,5.4e-07,2.05e-05,0.0007076,0
0.976,0.0001835,0.02357,6e-07,3.59e-05,0.0001246,0
0.964,0.0004327,0.03494,5e-07,6.026e-05,0.000426,0
0.9146,0.00161,0.0837,6.6e-07,6.384e-05,0.0001086,0
0.936,0.009834,0.0538,5.4e-07,7.69e-05,0.0001874,0
0.59,0.02557,0.3848,3.1e-06,4.584e-05,6.77e-05,0
0.5513,0.006733,0.4412,1.55e-06,0.0002369,6.48e-05,0
0.5645,0.004303,0.4312,3.4e-06,3.576e-05,9.173e-05,0
0.7847,0.02437,0.1908,1.85e-06,5.59e-05,4.375e-05,0
0.5444,0.00586,0.4468,1.967e-05,2.41e-05,0.00266,0
0.5586,0.001902,0.4392,5.07e-06,6.175e-05,0.0004973,0
0.38,0.003416,0.6167,1.34e-05,1.75e-05,0.000291,2
0.5054,0.002438,0.4915,5.84e-06,6.944e-05,0.0007596,0
0.3835,0.000711,0.613,6.56e-06,0.000141,0.002443,2
0.4402,0.0001268,0.555,1.34e-05,0.000835,0.003592,2
0.4368,7.313e-05,0.5625,3e-06,0.0003078,0.000509,2
0.921,7.546e-05,0.0788,2.44e-06,7.34e-05,0.0002351,0
0.743,0.0002754,0.2563,3.93e-06,9.996e-05,5.066e-05,0
0.949,0.000796,0.0496,9.5e-07,0.0004225,2.825e-05,0
0.947,0.000822,0.05197,1.5e-06,0.0002658,2.51e-05,0
0.9453,0.0207,0.03375,3.4e-06,3.4e-05,7.1e-06,0
0.8745,0.10046,0.02484,4.05e-06,5.66e-05,1.97e-06,0
0.94,0.0589,0.001007,1e-06,2.056e-05,6.56e-06,0
0.9653,0.03424,0.0003002,1.13e-06,4.387e-05,3.3e-06,0
0.989,0.00963,0.001318,1e-06,1.17e-05,2.5e-06,0
